title,category,genre,language,duration,rating,cast,description,image_url
Oppenheimer,Hollywood,Biography,English,180,9.2,"Cillian Murphy, Emily Blunt","Story of J. Robert Oppenheimer","https://example.com/image1.jpg"
Jawani Phir Nahi Ani,Lollywood,Comedy,Urdu,150,7.8,"Humayun Saeed, Ahmad Ali Butt","Pakistani romantic comedy","https://example.com/image2.jpg"
The Batman,Hollywood,Action,English,176,8.1,"Robert Pattinson, Zoe Kravitz","Dark Knight returns to fight crime in Gotham","https://example.com/image3.jpg"
Spider-Man: No Way Home,Hollywood,Action,English,148,8.7,"Tom Holland, Zendaya","Multi-verse Spider-Man adventure","https://example.com/image4.jpg"
Top Gun: Maverick,Hollywood,Action,English,130,8.3,"Tom Cruise, Miles Teller","Maverick returns as a flight instructor","https://example.com/image5.jpg"
Avengers: Endgame,Hollywood,Action,English,181,8.4,"Robert Downey Jr, Chris Evans","Final battle against Thanos","https://example.com/image6.jpg"
Fast X,Hollywood,Action,English,141,5.8,"Vin Diesel, Michelle Rodriguez","Fast and Furious family continues","https://example.com/image7.jpg"
John Wick: Chapter 4,Hollywood,Action,English,169,7.7,"Keanu Reeves, Donnie Yen","Legendary assassin seeks freedom","https://example.com/image8.jpg"
Avatar: The Way of Water,Hollywood,Sci-Fi,English,192,7.6,"Sam Worthington, Zoe Saldana","Return to Pandora underwater world","https://example.com/image9.jpg"
Black Panther: Wakanda Forever,Hollywood,Action,English,161,6.7,"Angela Bassett, Letitia Wright","Wakanda faces new threats","https://example.com/image10.jpg"
The Super Mario Bros. Movie,Hollywood,Animation,English,92,7.0,"Chris Pratt, Anya Taylor-Joy","Mario and Luigi adventure","https://example.com/image11.jpg"
Scream VI,Hollywood,Horror,English,123,6.5,"Melissa Barrera, Jenna Ortega","Ghostface returns to terrorize","https://example.com/image12.jpg"
Pathaan,Bollywood,Action,Hindi,146,5.5,"Shah Rukh Khan, Deepika Padukone","Spy thriller with high-octane action","https://example.com/image13.jpg"
Jawan,Bollywood,Action,Hindi,169,7.0,"Shah Rukh Khan, Nayanthara","Man seeks justice for his family","https://example.com/image14.jpg"
Dangal,Bollywood,Biography,Hindi,161,8.4,"Aamir Khan, Fatima Sana Shaikh","Father trains daughters for wrestling","https://example.com/image15.jpg"
3 Idiots,Bollywood,Comedy,Hindi,170,8.4,"Aamir Khan, R. Madhavan","Engineering students life journey","https://example.com/image16.jpg"
Baahubali 2,Bollywood,Action,Hindi,167,8.2,"Prabhas, Rana Daggubati","Epic conclusion of Baahubali saga","https://example.com/image17.jpg"
KGF: Chapter 2,Bollywood,Action,Hindi,168,8.4,"Yash, Sanjay Dutt","Rocky's empire expansion story","https://example.com/image18.jpg"
RRR,Bollywood,Action,Hindi,187,7.9,"N.T. Rama Rao Jr., Ram Charan","Pre-independence revolutionary tale","https://example.com/image19.jpg"
Pushpa: The Rise,Bollywood,Action,Hindi,179,7.6,"Allu Arjun, Rashmika Mandanna","Red sandalwood smuggling saga","https://example.com/image20.jpg"
Sooryavanshi,Bollywood,Action,Hindi,145,5.7,"Akshay Kumar, Katrina Kaif","Anti-terrorism squad action","https://example.com/image21.jpg"
83,Bollywood,Biography,Hindi,162,7.5,"Ranveer Singh, Deepika Padukone","India's 1983 Cricket World Cup victory","https://example.com/image22.jpg"
Shershaah,Bollywood,Biography,Hindi,135,8.4,"Sidharth Malhotra, Kiara Advani","Captain Vikram Batra war story","https://example.com/image23.jpg"
Gangubai Kathiawadi,Bollywood,Biography,Hindi,157,7.0,"Alia Bhatt, Ajay Devgn","Story of Gangubai from Kamathipura","https://example.com/image24.jpg"
The Legend of Maula Jatt,Lollywood,Action,Punjabi,153,8.7,"Fawad Khan, Mahira Khan","Epic Punjabi folk tale reimagined","https://example.com/image25.jpg"
Waar,Lollywood,Action,Urdu,130,7.2,"Shaan Shahid, Meesha Shafi","Counter-terrorism thriller","https://example.com/image26.jpg"
Bol,Lollywood,Drama,Urdu,165,8.2,"Humaima Malik, Iman Ali","Social issues and family drama","https://example.com/image27.jpg"
Khuda Kay Liye,Lollywood,Drama,Urdu,168,8.1,"Shaan Shahid, Fawad Khan","Post 9/11 Muslim identity crisis","https://example.com/image28.jpg"
Punjab Nahi Jaungi,Lollywood,Romance,Urdu,151,7.6,"Humayun Saeed, Mehwish Hayat","Love story across cultures","https://example.com/image29.jpg"
Load Wedding,Lollywood,Comedy,Urdu,128,7.8,"Fahad Mustafa, Mehwish Hayat","Dowry system social comedy","https://example.com/image30.jpg"
Cake,Lollywood,Drama,Urdu,119,7.9,"Aamina Sheikh, Sanam Saeed","Family relationships and forgiveness","https://example.com/image31.jpg"
Parwaaz Hai Junoon,Lollywood,Action,Urdu,126,7.4,"Hamza Ali Abbasi, Hania Aamir","Pakistan Air Force tribute","https://example.com/image32.jpg"
Teefa in Trouble,Lollywood,Action,Urdu,155,7.2,"Ali Zafar, Maya Ali","Comedy action romance","https://example.com/image33.jpg"
Superstar,Lollywood,Romance,Urdu,132,6.8,"Mahira Khan, Bilal Ashraf","Actress and her fan love story","https://example.com/image34.jpg"
Parey Hut Love,Lollywood,Romance,Urdu,155,6.4,"Sheheryar Munawar, Maya Ali","Modern love triangle","https://example.com/image35.jpg"
Quaid-e-Azam Zindabad,Lollywood,Action,Urdu,145,6.9,"Fahad Mustafa, Mahira Khan","Corrupt cop redemption story","https://example.com/image36.jpg"
Tich Button,Lollywood,Romance,Urdu,155,7.1,"Farhan Saeed, Sonya Hussyn","Love across borders","https://example.com/image37.jpg"
Money Back Guarantee,Lollywood,Comedy,Urdu,133,6.7,"Fawad Khan, Ali Kazmi","Small town business comedy","https://example.com/image38.jpg"
Kamli,Lollywood,Drama,Urdu,138,7.5,"Saba Qamar, Sania Saeed","Women empowerment story","https://example.com/image39.jpg"
Joyland,Lollywood,Drama,Urdu,126,7.6,"Ali Junejo, Rasti Farooq","LGBTQ+ themes in Pakistani society","https://example.com/image40.jpg"
Dune,Hollywood,Sci-Fi,English,155,8.0,"Timothee Chalamet, Rebecca Ferguson","Desert planet epic adaptation","https://example.com/image41.jpg"
No Time to Die,Hollywood,Action,English,163,7.3,"Daniel Craig, Rami Malek","Bond's final mission","https://example.com/image42.jpg"
Dune: Part Two,Hollywood,Sci-Fi,English,166,8.5,"Timothee Chalamet, Zendaya","Paul Atreides rise to power","https://example.com/image43.jpg"
Barbie,Hollywood,Comedy,English,114,6.9,"Margot Robbie, Ryan Gosling","Pink world adventure","https://example.com/image44.jpg"
Mission: Impossible 7,Hollywood,Action,English,163,7.7,"Tom Cruise, Hayley Atwell","Ethan Hunt impossible mission","https://example.com/image45.jpg"
Guardians of the Galaxy Vol. 3,Hollywood,Action,English,150,8.0,"Chris Pratt, Zoe Saldana","Final Guardians adventure","https://example.com/image46.jpg"
Indiana Jones 5,Hollywood,Adventure,English,154,6.7,"Harrison Ford, Phoebe Waller-Bridge","Indy's last adventure","https://example.com/image47.jpg"
Transformers: Rise of the Beasts,Hollywood,Action,English,127,6.0,"Anthony Ramos, Dominique Fishback","90s Transformers prequel","https://example.com/image48.jpg"
The Flash,Hollywood,Action,English,144,5.7,"Ezra Miller, Michael Keaton","Speedster multiverse journey","https://example.com/image49.jpg"
Ant-Man and the Wasp: Quantumania,Hollywood,Action,English,124,6.1,"Paul Rudd, Evangeline Lilly","Quantum realm adventure","https://example.com/image50.jpg"
Creed III,Hollywood,Drama,English,116,6.8,"Michael B. Jordan, Tessa Thompson","Boxing legacy continues","https://example.com/image51.jpg"
Evil Dead Rise,Hollywood,Horror,English,96,6.5,"Lily Sullivan, Alyssa Sutherland","Deadites return to terrorize","https://example.com/image52.jpg"
Cocaine Bear,Hollywood,Comedy,English,95,5.9,"Keri Russell, O'Shea Jackson Jr.","Bear on cocaine rampage","https://example.com/image53.jpg"
The Little Mermaid,Hollywood,Musical,English,135,7.2,"Halle Bailey, Jonah Hauer-King","Live action Disney adaptation","https://example.com/image54.jpg"
Dungeons & Dragons,Hollywood,Adventure,English,134,7.2,"Chris Pine, Michelle Rodriguez","Fantasy tabletop adventure","https://example.com/image55.jpg"
John Wick 3,Hollywood,Action,English,131,7.4,"Keanu Reeves, Halle Berry","Continental Hotel warfare","https://example.com/image56.jpg"
Jurassic World Dominion,Hollywood,Adventure,English,147,5.6,"Chris Pratt, Bryce Dallas Howard","Dinosaurs rule the world","https://example.com/image57.jpg"
Doctor Strange 2,Hollywood,Action,English,126,6.9,"Benedict Cumberbatch, Elizabeth Olsen","Multiverse of madness","https://example.com/image58.jpg"
Thor: Love and Thunder,Hollywood,Action,English,119,6.2,"Chris Hemsworth, Natalie Portman","God of Thunder returns","https://example.com/image59.jpg"
Minions: The Rise of Gru,Hollywood,Animation,English,87,6.5,"Steve Carell, Pierre Coffin","Young Gru villain origin","https://example.com/image60.jpg"
Lightyear,Hollywood,Animation,English,105,5.4,"Chris Evans, Keke Palmer","Buzz Lightyear space adventure","https://example.com/image61.jpg"
Morbius,Hollywood,Action,English,104,5.2,"Jared Leto, Matt Smith","Living vampire antihero","https://example.com/image62.jpg"
The Northman,Hollywood,Drama,English,137,7.0,"Alexander Skarsgard, Nicole Kidman","Viking revenge saga","https://example.com/image63.jpg"
Fantastic Beasts 3,Hollywood,Adventure,English,142,6.2,"Eddie Redmayne, Jude Law","Wizarding world continues","https://example.com/image64.jpg"
Brahmastra,Bollywood,Fantasy,Hindi,167,5.6,"Ranbir Kapoor, Alia Bhatt","Ancient weapon mythology","https://example.com/image65.jpg"
Laal Singh Chaddha,Bollywood,Drama,Hindi,159,5.5,"Aamir Khan, Kareena Kapoor","Indian Forrest Gump adaptation","https://example.com/image66.jpg"
Vikram Vedha,Bollywood,Thriller,Hindi,158,7.1,"Hrithik Roshan, Saif Ali Khan","Cop and gangster cat-mouse game","https://example.com/image67.jpg"
Raksha Bandhan,Bollywood,Drama,Hindi,109,5.3,"Akshay Kumar, Bhumi Pednekar","Brother-sister bond story","https://example.com/image68.jpg"
Shamshera,Bollywood,Action,Hindi,158,5.2,"Ranbir Kapoor, Vaani Kapoor","Dacoit rebellion saga","https://example.com/image69.jpg"
Heropanti 2,Bollywood,Action,Hindi,142,4.0,"Tiger Shroff, Tara Sutaria","Cyber crime action thriller","https://example.com/image70.jpg"
Bhool Bhulaiyaa 2,Bollywood,Horror,Hindi,143,6.9,"Kartik Aaryan, Kiara Advani","Horror comedy sequel","https://example.com/image71.jpg"
Jugjugg Jeeyo,Bollywood,Comedy,Hindi,148,6.1,"Varun Dhawan, Kiara Advani","Family relationship comedy","https://example.com/image72.jpg"
Samrat Prithviraj,Bollywood,Biography,Hindi,135,5.6,"Akshay Kumar, Manushi Chhillar","Historical warrior king story","https://example.com/image73.jpg"
Jayeshbhai Jordaar,Bollywood,Comedy,Hindi,125,6.7,"Ranveer Singh, Shalini Pandey","Social message comedy","https://example.com/image74.jpg"
Runway 34,Bollywood,Thriller,Hindi,141,7.2,"Ajay Devgn, Rakul Preet Singh","Aviation thriller drama","https://example.com/image75.jpg"
Jersey,Bollywood,Drama,Hindi,170,7.8,"Shahid Kapoor, Mrunal Thakur","Cricketer comeback story","https://example.com/image76.jpg"
Attack,Bollywood,Action,Hindi,125,5.1,"John Abraham, Jacqueline Fernandez","Super soldier action thriller","https://example.com/image77.jpg"
Bachchhan Paandey,Bollywood,Action,Hindi,147,5.5,"Akshay Kumar, Kriti Sanon","Gangster comedy action","https://example.com/image78.jpg"
The Kashmir Files,Bollywood,Drama,Hindi,170,8.3,"Anupam Kher, Mithun Chakraborty","Kashmir Pandit exodus story","https://example.com/image79.jpg"
Radhe Shyam,Bollywood,Romance,Hindi,138,5.4,"Prabhas, Pooja Hegde","Love transcends time story","https://example.com/image80.jpg"
Gehraiyaan,Bollywood,Drama,Hindi,143,6.3,"Deepika Padukone, Siddhant Chaturvedi","Complex relationships drama","https://example.com/image81.jpg"
Badhaai Do,Bollywood,Comedy,Hindi,147,7.1,"Rajkummar Rao, Bhumi Pednekar","Lavender marriage comedy","https://example.com/image82.jpg"
Chandigarh Kare Aashiqui,Bollywood,Romance,Hindi,119,7.8,"Ayushmann Khurrana, Vaani Kapoor","Transgender love story","https://example.com/image83.jpg"
Atrangi Re,Bollywood,Romance,Hindi,138,6.1,"Dhanush, Sara Ali Khan","Love triangle with twist","https://example.com/image84.jpg"
Sardar Udham,Bollywood,Biography,Hindi,164,8.4,"Vicky Kaushal, Shaun Scott","Revolutionary freedom fighter story","https://example.com/image85.jpg"
Bell Bottom,Bollywood,Thriller,Hindi,122,7.0,"Akshay Kumar, Vaani Kapoor","RAW agent hijack mission","https://example.com/image86.jpg"
Shang-Chi,Hollywood,Action,English,132,7.4,"Simu Liu, Awkwafina","Marvel martial arts hero","https://example.com/image87.jpg"
Eternals,Hollywood,Action,English,156,6.3,"Gemma Chan, Richard Madden","Immortal beings protect Earth","https://example.com/image88.jpg"
Venom 2,Hollywood,Action,English,97,5.9,"Tom Hardy, Michelle Williams","Symbiote vs Carnage","https://example.com/image89.jpg"
The Matrix 4,Hollywood,Sci-Fi,English,148,5.7,"Keanu Reeves, Carrie-Anne Moss","Neo returns to Matrix","https://example.com/image90.jpg"
Heer Maan Ja,Lollywood,Romance,Urdu,135,6.8,"Ali Rehman Khan, Hareem Farooq","Modern love story","https://example.com/image91.jpg"
Baaji,Lollywood,Drama,Urdu,130,7.3,"Meera Jee, Osman Khalid Butt","Film industry insider story","https://example.com/image92.jpg"
Mehrunisa V Lub U,Lollywood,Romance,Urdu,140,6.5,"Danish Taimoor, Sana Javed","Cross-cultural love story","https://example.com/image93.jpg"
Yalghaar,Lollywood,Action,Urdu,162,7.1,"Shaan Shahid, Humayun Saeed","Pakistan Army operation","https://example.com/image94.jpg"
Actor in Law,Lollywood,Comedy,Urdu,120,7.2,"Fahad Mustafa, Mehwish Hayat","Lawyer comedy drama","https://example.com/image95.jpg"
Bin Roye,Lollywood,Romance,Urdu,139,6.9,"Mahira Khan, Humayun Saeed","Unrequited love triangle","https://example.com/image96.jpg"
Wrong No.,Lollywood,Comedy,Urdu,116,6.6,"Danish Taimoor, Sohai Ali Abro","Mistaken identity comedy","https://example.com/image97.jpg"
Main Hoon Shahid Afridi,Lollywood,Drama,Urdu,120,6.4,"Humayun Saeed, Mahnoor Baloch","Cricket passion drama","https://example.com/image98.jpg"
Zindagi Kitni Haseen Hay,Lollywood,Romance,Urdu,150,6.7,"Feroze Khan, Sajal Aly","Life and love journey","https://example.com/image99.jpg"
Moor,Lollywood,Drama,Urdu,140,8.0,"Hameed Sheikh, Samiya Mumtaz","Railway station master story","https://example.com/image100.jpg"